# wang ID 1  MUSE z

# wang ID 23
22 3 
-23.106 -34.090 0.0 0.40 0.0 0.0 0.0 0
-44.809  -5.675 0.0 0.40 0.0 0.0 0.0 0
 -6.355 -37.118 0.0 0.40 0.0 0.0 0.0 0

# wang ID 21
23 3 
-31.255 -10.358 0.0 0.40 0.0 0.0 0.0 0
-28.405 -18.368 0.0 0.40 0.0 0.0 0.0 0
 12.845 -33.698 0.0 0.40 0.0 0.0 0.0 0

# wang ID 59
24 2 
  5.670 -31.267 0.0 0.40 0.0 0.0 0.0 0 # 429
-37.307  -2.667 0.0 0.40 0.0 0.0 0.0 0 # 926

# wang ID 34 MUSE z
25 3 3.7850 0.0
-23.915 -37.738 0.0 0.40 0.0 0.0 0.0 0
-22.718 -38.184 0.0 0.40 0.0 0.0 0.0 0
-45.3345 -15.7122 0.0 0.40 0.0 0.0 0.0 0 # wang 34.3

# wang ID 33 MUSE z
26 3 5.726 0.0
  4.352 -10.483 0.0 0.40 0.0 0.0 0.0 0
  5.322 -11.376 0.0 0.40 0.0 0.0 0.0 0
-44.428  18.468 0.0 0.40 0.0 0.0 0.0 0

# wang ID 31 no 31.3 MUSE z
27 2 4.7594 0.0
  0.575 -10.508 0.0 0.40 0.0 0.0 0.0 0
  7.475 -13.898 0.0 0.40 0.0 0.0 0.0 0

# wang ID 32 
28 3 
  7.778 -16.098 0.0 0.40 0.0 0.0 0.0 0
 -1.730 -11.148 0.0 0.40 0.0 0.0 0.0 0
-42.477  15.336 0.0 0.40 0.0 0.0 0.0 0 # wang 32.3

# wang ID 46 
29 3 9.50 0.5
-19.855  -4.538 0.0 0.40 0.0 0.0 0.0 0
-27.625  -1.868 0.0 0.40 0.0 0.0 0.0 0
 26.675 -30.458 0.0 0.40 0.0 0.0 0.0 0

# wang ID 24 MUSE z
30 3 1.043 0.0
-30.403 -15.218 0.0 0.40 0.0 0.0 0.0 0
-27.955 -20.408 0.0 0.40 0.0 0.0 0.0 0
 -3.793 -31.878 0.0 0.40 0.0 0.0 0.0 0

# wang ID 26 MUSE z
31 3 3.054 0.0
-24.205 -34.148 0.0 0.40 0.0 0.0 0.0 0
-13.165 -37.238 0.0 0.40 0.0 0.0 0.0 0
-43.435  -9.848 0.0 0.40 0.0 0.0 0.0 0

# wang ID 60
32 3 1.7 0.5
-29.864 -26.344 0.0 0.40 0.0 0.0 0.0 0
 -3.955 -35.706 0.0 0.40 0.0 0.0 0.0 0
-37.151 -13.495 0.0 0.40 0.0 0.0 0.0 0

# wang ID 29 no 29.3
33 2 
 11.405   9.592 0.0 0.40 0.0 0.0 0.0 0
 17.345  -0.848 0.0 0.40 0.0 0.0 0.0 0

# wang ID 53 no 53.3
34 2 
  7.955  12.742 0.0 0.40 0.0 0.0 0.0 0
 19.475  -4.868 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 63
35 4 5.662 0.0
 11.950 -24.934 0.0 0.40 0.0 0.0 0.0 0
-20.642 -24.415 0.0 0.40 0.0 0.0 0.0 0
 -9.388 -11.444 0.0 0.40 0.0 0.0 0.0 0
-39.420   7.060 0.0 0.40 0.0 0.0 0.0 0

# wang ID 25
36 3 
-25.975  -9.008 0.0 0.40 0.0 0.0 0.0 0
-18.745 -11.078 0.0 0.40 0.0 0.0 0.0 0
  5.885 -28.958 0.0 0.40 0.0 0.0 0.0 0

# wang ID 30 MUSE z
37 3 1.025       0.0
 13.001  -5.270 0.0 0.40 0.0 0.0 0.0 0
-15.234  10.084 0.0 0.40 0.0 0.0 0.0 0
 -1.735   7.402 0.0 0.40 0.0 0.0 0.0 0

# wang ID 54 no 54.3 54.4 1 new image(Zheng+14 ZD7C)(???)
# Zheng+2014 ZD7
38 3
-19.373 -34.749 0.0 0.40 0.0 0.0 0.0 0
 -6.655 -36.308 0.0 0.40 0.0 0.0 0.0 0
-45.985  -2.108 0.0 0.40 0.0 0.0 0.0 0

# MUSE ID 42
39 5 3.692 0.0
-34.763  -1.339 0.0 0.40 0.0 0.0 0.0 0
