 -46.1075  -63.3715 0.145976 0.615 -144.7
 -51.3489  -60.1780 0.201150 0.060  -72.2
 -47.3290  -54.4496 0.162945 0.372 -126.8
 -39.8912  -56.3220 0.024923 0.171 -150.6
 -56.4234  -51.5318 0.189165 0.514  -61.7
   1.2390  -49.4525 0.060517 0.249  -29.4
 -58.0009  -52.9902 0.008962 0.102 -113.6
 -18.5918  -46.3277 0.012004 0.396 -103.4
  37.7670  -30.9190 0.304425 0.603 -130.7
  20.0192  -32.2153 0.656448 0.234  -91.2
  -8.4032  -37.7338 0.108683 0.053 -124.8
  -9.3884  -33.5988 0.124784 0.530  -51.5
 -18.4032  -19.8036 0.958694 0.324  -75.1
 -14.8349  -38.3537 0.006251 0.029 -134.1
  11.1857  -35.0849 0.077368 0.073 -154.0
 -11.2093  -35.9363 0.025870 0.106  -32.6
 -23.6921  -32.3410 0.016571 0.488  -21.2
 -27.9875  -32.8558 0.050387 0.113 -175.8
   7.0757  -33.3544 0.025631 0.469 -104.3
 -29.2091  -33.9901 0.004922 0.283  -20.9
 -45.6401  -33.4426 0.008334 0.097  -90.2
  58.8335  -30.6508 0.007732 0.064 -137.5
   0.5247  -29.5009 0.012040 0.196 -105.8
  26.5599  -28.6542 0.010314 0.111  -66.3
 -17.4210  -27.2383 0.120226 0.384  -58.3
 -30.4232  -21.5053 0.142626 0.205 -135.8
  39.4603  -25.9978 0.029577 0.139 -175.5
 -12.9455  -25.7789 0.038135 0.033  -66.8
 -19.8726  -15.7331 0.434230 0.171  -38.6
 -36.4791  -19.1380 0.096401 0.319  -47.5
  -2.8875  -16.9495 0.089586 0.220   -9.1
 -15.9614  -21.6457 0.010959 0.347  -34.3
 -20.5057  -21.1162 0.011085 0.227  -55.0
  -0.4512    0.2437 1.000000 0.218 -156.6
  23.5948  -11.2871 0.400608 0.130  -77.5
 -26.5897  -20.3692 0.012628 0.118  -67.8
  32.2293  -18.4964 0.025205 0.578  -86.5
 -46.9885  -16.7245 0.016323 0.077  -78.4
  -5.7786  -14.4461 0.029485 0.104  -74.0
  -5.6788   -2.2010 0.193446 0.683 -104.3
   3.3369  -11.0689 0.056995 0.299  -14.2
 -59.5136   -9.6934 0.070268 0.018 -110.9
 -13.1011   -0.4853 0.273149 0.308 -132.0
  35.1851  -12.3570 0.012714 0.508  -83.1
   4.1786  -11.9092 0.006467 0.078 -171.2
   5.3818   -9.5299 0.044986 0.232 -102.9
 -27.0776   -6.8033 0.031223 0.063  -69.9
  -6.3199   -6.2640 0.040866 0.147  -19.4
  -7.4153   -6.7007 0.020620 0.061   -5.9
 -21.3880    3.2749 0.368163 0.777  -47.5
 -34.3156   -7.2320 0.002608 0.256  -11.2
  -1.3988    3.0665 0.337163 0.366 -159.2
  -8.5092   -5.5094 0.007096 0.061  -66.2
 -59.4801   -2.0441 0.144305 0.336  -71.3
  -8.4114   -5.1286 0.004940 0.182  -11.9
   2.2350    4.4352 0.038159 0.195 -116.5
 -25.9376   -0.3953 0.102887 0.190 -133.9
 -56.6090    0.4162 0.225258 0.515  -98.7
  41.2985   -1.0613 0.035211 0.142  -16.4
 -33.0593   -0.9832 0.027540 0.175  -43.0
 -39.9065    9.7546 0.247469 0.124  -25.5
  34.8091    6.6924 0.372015 0.486 -112.6
 -22.6796    0.7758 0.013112 0.259  -16.2
  23.3486    4.0720 0.056744 0.257 -161.1
  -2.8001    1.0343 0.010639 0.094 -164.5
  12.2679    6.0070 0.240813 0.156  -65.1
 -29.9401    0.9738 0.010168 0.040 -153.9
  -7.0616    6.7871 0.221432 0.163  -65.1
   6.5908    3.5273 0.088830 0.536 -103.3
  -4.7677   13.7329 0.521771 0.114 -175.6
 -55.0263    4.0255 0.012834 0.248 -150.7
  22.4992   11.2648 0.153957 0.426  -18.5
   5.1296    6.8317 0.018293 0.281   -6.1
 -48.8949    5.6840 0.015060 0.421 -108.0
 -21.0674    5.3532 0.002165 0.437 -172.9
   1.8317   11.1035 0.084132 0.056  -41.2
